set,k1,k2,z1,z2,kp1,kp2,lam,mu1,mu2,c1,c2,ee1_m6,ee2_m6,ee1_m19,ee2_m19,arc,kkt1_m19,kkt2_m19
box,1.0547846749285816,0.9079146855055481,-0.14688847234041758,-0.15471115663087057,1.040274241643277,0.910996187157376,1.0865907342470458,0.0030475121627547073,0.0,0.04489433366808905,0.042183443797939965,-0.002158847777730899,-0.001001299667747091,-0.002221980048303762,-0.0011015179907208905,6.099666816481646e-06,0.0037947201526379315,0.0011015179907208905
box,1.125308095680109,1.1651022309110886,0.03412344824549754,0.07343889951487942,1.1251421248886502,1.1660097045005589,0.8704270480426107,0.0,0.0,0.047454230438565885,0.052659369067801214,0.00042176752998357436,2.0083566214523785e-06,0.000379926856866053,-6.4165678543837146e-06,5.275955069816343e-06,0.000379926856866053,6.4165678543837146e-06
box,1.0174499965861692,1.1740289695151072,0.10107313731889023,-0.1591236799455525,1.0259601539860055,1.1616222570013386,0.952279002623221,0.0,0.03645857964695396,0.046399892809713114,0.048133098643579064,-0.00019083281695919663,-0.03895954289750436,-0.0001454840872109342,-0.03891310969555328,5.512713960408269e-06,0.0001454840872109342,0.0005733711686159992
box,1.1429617106350278,0.8134342301221857,0.07348974285758203,-0.10379020140718104,1.1423035351274724,0.8142107823336147,1.0282406451743609,0.0,0.0,0.045518122221339226,0.04457724890042647,-0.0011007405295022643,0.001441465517844298,-0.0011430745793431507,0.0012979216841175756,1.5769131349033885e-06,0.0011430745793431507,0.0012979216841175756
box,1.1452715689399546,1.0165844880996366,-0.06409219502803681,-0.024740089216749278,1.134002373086023,1.0217388105271996,0.9567518086092277,0.0046865212510341795,0.0,0.046345567709224954,0.04790807684607548,-0.004311767375428155,-0.00015746532206206698,-0.004400056062579427,-0.00017712829510141415,-2.621262613340345e-06,0.00016185992580886044,0.00017712829510141415
box,0.8113278684581853,0.8497133105998256,0.05459981270196165,0.04710064370375999,0.8202724672503207,0.8493190961303055,1.1380635380497872,0.0,0.0,0.04437786472967811,0.04027555372525025,0.0005791812252271544,0.0014339609884039817,0.0005426359844440398,0.0013395082954241744,2.9135235397382144e-05,0.0005426359844440398,0.0013395082954241744
box,1.0461540445925015,0.9534710217047534,0.15910717945254738,0.15386730840839352,1.0453845593412647,0.9691029239303769,0.9351533185450129,0.0,0.0,0.04661088237964387,0.04901457147239572,0.0010645392448187518,0.00016475310160735113,0.0010371874640777712,0.0001228322103066226,2.7333400390322332e-06,0.0010371874640777712,0.0001228322103066226
box,1.074216793792278,1.0601837105071266,0.060302953782700786,-0.03554514432668676,1.0794597076832835,1.054138439677565,0.9400918222349975,0.0,0.0,0.04654954718241003,0.04875708743056674,-0.00019601872885688376,-0.0004524737800831735,-0.00016235086692162337,-0.0004314161830396568,1.0738261740534534e-05,0.00016235086692162337,0.0004314161830396568
box,0.8540386020089645,1.0885953360776326,0.008113383192232287,-0.060722599821134135,0.8649817028958251,1.076588629441466,1.0502719550894963,0.0,0.01712077632545423,0.04527751542066287,0.043642162344101405,-0.0003608450790264506,-0.016661352928360795,-0.0003714818062429126,-0.016756069722724587,4.5780648736231336e-06,0.0003714818062429126,0.0010399401669538566
box,0.9943341435327157,1.1557951337396002,0.1388939251059998,-0.04550553705309748,1.0096685444421156,1.143325330093113,0.9328262104373007,0.0,0.016816615906326746,0.046639925098262085,0.04913684741768244,-2.4847907033609395e-05,-0.018473851080959336,-3.197754858819124e-05,-0.018434850756446797,-1.672027291335777e-06,3.197754858819124e-05,0.0007969084758955303
