set,k1,k2,z1,z2,kp1,kp2,lam,mu1,mu2,c1,c2,ee1_m6,ee2_m6,ee1_m19,ee2_m19,arc,kkt1_m19,kkt2_m19
box,1.0547846749285816,0.9079146855055481,-0.14688847234041758,-0.15471115663087057,1.0390250025879237,0.9119868115398738,1.0813753205151873,0.0,0.0,0.04494836676744771,0.04238689222871796,0.00010525148990447875,9.984097007875725e-05,5.276214244420707e-05,2.87259875602075e-05,1.3014148378255353e-06,0.004991037905126561,2.87259875602075e-05
box,1.125308095680109,1.1651022309110886,0.03412344824549754,0.07343889951487942,1.124787527754342,1.1662958584942742,0.8695185612800679,0.0,0.0,0.047466620817859996,0.05271438841051832,0.00010065073054876805,0.00010517623038341917,0.00010004078907943637,0.00010422936206566646,5.6315493100989425e-06,0.00010004078907943637,0.00010422936206566646
box,1.0174499965861692,1.1740289695151072,0.10107313731889023,-0.1591236799455525,1.0477067194791927,1.1380521153811511,0.9306679757741235,0.0,0.0,0.04666694130782314,0.04925079659192783,2.5340440590770896e-05,6.724047112438569e-07,6.95212615684504e-05,2.680742556360194e-05,6.236070606161987e-07,6.95212615684504e-05,0.020852448156476355
box,1.1429617106350278,0.8134342301221857,0.07348974285758203,-0.10379020140718104,1.1336434673578946,0.8225888435541736,1.0237453873273537,0.0,0.0,0.04556800758207484,0.04477298724552493,9.71086127037335e-05,0.00010207954230723182,9.974149954516953e-05,0.00010371300333811284,-2.3742268370791e-06,9.974149954516953e-05,0.00010371300333811284
box,1.1452715689399546,1.0165844880996366,-0.06409219502803681,-0.024740089216749278,1.129660273734293,1.0257469997705275,0.9521102499584154,0.0,0.0,0.046401948660173324,0.0481416297865447,2.9909034335195983e-05,3.229034379703677e-05,2.811555282300482e-05,3.063734193275991e-05,-6.719808936431636e-07,0.003667763597632878,3.063734193275991e-05
box,0.8113278684581853,0.8497133105998256,0.05459981270196165,0.04710064370375999,0.8192773831648624,0.850788987903899,1.1472858700242126,0.0,0.0,0.044288412980375,0.03995180309202731,-1.6214586745388893e-05,-1.5766323671062565e-05,-1.7072952240959616e-05,-1.6485446964753514e-05,-3.196313169655836e-06,1.7072952240959616e-05,1.6485446964753514e-05
box,1.0461540445925015,0.9534710217047534,0.15910717945254738,0.15386730840839352,1.047260972876862,0.9673874428475107,0.9373704770186504,0.0,0.0,0.0465832957672884,0.048898637511239434,-2.9450672510700215e-06,2.9332094036771394e-05,-2.396472186694254e-05,-1.8032545282764545e-05,7.086879709207508e-07,2.396472186694254e-05,1.8032545282764545e-05
box,1.074216793792278,1.0601837105071266,0.060302953782700786,-0.03554514432668676,1.0812135491094903,1.052417553279204,0.9403698127676469,0.0,0.0,0.04654610657638133,0.04874267394289282,3.8923813810987085e-05,4.024809228342363e-05,3.9303318737138326e-05,4.049435252162503e-05,-7.925067492709503e-07,3.9303318737138326e-05,4.049435252162503e-05
box,0.8540386020089645,1.0885953360776326,0.008113383192232287,-0.060722599821134135,0.8753840327302709,1.0653467788432402,1.0378303577545283,0.0,0.0,0.04541260728137186,0.044165348245010505,-6.0909235831352326e-05,-6.490822240834415e-05,-6.145761863241006e-05,-6.530637095480962e-05,5.907166713770887e-07,6.145761863241006e-05,0.011471185156104347
box,0.9943341435327157,1.1557951337396002,0.1388939251059998,-0.04550553705309748,1.02301341093831,1.1288842962069585,0.9203098426926355,0.0,0.0,0.04679770039388605,0.04980511675868374,6.143855115481323e-05,5.085015162964446e-05,6.836987251790383e-05,6.129879041094632e-05,-1.9223904620200454e-06,6.836987251790383e-05,0.01341757323688253
box,1.0286119322919043,0.9287477564303769,0.030176009663902936,-0.05186840783771732,1.0280319246074519,0.9291543870448544,1.0234832528198374,0.0,0.0,0.045570925021151676,0.04478445450200352,-4.372116545359184e-06,-6.486097180902206e-06,-4.148339120213507e-06,-6.270217363213426e-06,6.021044022631289e-08,4.148339120213507e-06,6.270217363213426e-06
